+--------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-----------------------+
| substance_id | substance_name                                                                                                                                                                                                                                                        | allergic_patient_count | containing_drug_count |
|         1680 | Phytosterol                                                                                                                                                                                                                                                           |                      0 |                     2 |
|         1262 | Pig Epithelia                                                                                                                                                                                                                                                         |                      0 |                     2 |
|         1211 | Pike                                                                                                                                                                                                                                                                  |                      0 |                     2 |
|         5279 | Pimecrolimus                                                                                                                                                                                                                                                          |                      0 |                     2 |
|         9391 | Pine Needle Oil, Eucalyptus Oil                                                                                                                                                                                                                                       |                      0 |                     2 |
|         9392 | Pioglitazone Hydrochloride, Metformin Hydrochloride Ph. Eur.                                                                                                                                                                                                          |                      0 |                     2 |
|         1820 | Pipecuronium Bromide                                                                                                                                                                                                                                                  |                      0 |                     2 |
|         5328 | Pipethanate Ethobromide                                                                                                                                                                                                                                               |                      0 |                     2 |
|         5579 | Piretanide                                                                                                                                                                                                                                                            |                      0 |                     2 |
|         9675 | Piretanide, Ramipril                                                                                                                                                                                                                                                  |                      0 |                     2 |
|         4705 | Piritramide                                                                                                                                                                                                                                                           |                      0 |                     2 |
|         9019 | Pitolisant                                                                                                                                                                                                                                                            |                      0 |                     2 |
|         1263 | Pityrosporum Ovale                                                                                                                                                                                                                                                    |                      0 |                     2 |
|         8198 | Plantaginis Lanceolatae Folium Cum Herba Extractum Fluidum (1:1)                                                                                                                                                                                                      |                      0 |                     2 |
|          852 | Plantago Lanceolata (342)                                                                                                                                                                                                                                             |                      0 |                     2 |
|         6686 | Plantago Lanceolata Herb Fluid Extract                                                                                                                                                                                                                                |                      0 |                     2 |
|         9793 | Plantago Lanceolata L.                                                                                                                                                                                                                                                |                      0 |                     2 |
|         9607 | Plantago Lanceolata Pollen Extract                                                                                                                                                                                                                                    |                      0 |                     2 |
|         9646 | Plantago Lanceolata, Urtica Dioica, Artemisia Vulgaris, Taraxacum Officinale                                                                                                                                                                                          |                      0 |                     2 |
|         6676 | Plantago Lanceolatae Folium Dry Extract                                                                                                                                                                                                                               |                      0 |                     2 |
|         2829 | Plantago Major Ø, Echinacea Angustifolia Mother Tincture                                                                                                                                                                                                              |                      0 |                     2 |
|         5814 | Plantago Seed                                                                                                                                                                                                                                                         |                      0 |                     2 |
|          853 | Platanus Acerifolia (132)                                                                                                                                                                                                                                             |                      0 |                     2 |
|         9461 | Poliovirus (Inactivated) Type 3 (Saukett Strain), Poliovirus (Inactivated) Type 2 (Mef-1 Strain), Poliovirus Type 1, Inactivated, Strain Brunhilde                                                                                                                    |                      0 |                     2 |
|        12033 | Polygala Senega D6, Argentum Nitricum D6, Natrium Chloratum D6, Conium Maculatum D6, Ruta Graveolens D6                                                                                                                                                               |                      0 |                     2 |
|         5316 | Polygeline                                                                                                                                                                                                                                                            |                      0 |                     2 |
|        11023 | Polymyxin B, Oxytetracycline                                                                                                                                                                                                                                          |                      0 |                     2 |
|         5707 | Polysaccharide Iron Complex                                                                                                                                                                                                                                           |                      0 |                     2 |
|         4240 | Poractant Alfa                                                                                                                                                                                                                                                        |                      0 |                     2 |
|          180 | Potassium Acetate                                                                                                                                                                                                                                                     |                      0 |                     2 |
|         4623 | Potassium Bromide                                                                                                                                                                                                                                                     |                      0 |                     2 |
|         4698 | Potassium Chloride Ph. Eur., Sodium Citrate Ph. Eur., Rice Powder, Sodium Chloride Ph. Eur.                                                                                                                                                                           |                      0 |                     2 |
|        10130 | Potassium Chloride, Sodium Acetate, Sodium Chloride, Calcium Chloride Dihydrate                                                                                                                                                                                       |                      0 |                     2 |
|         5254 | Potassium Chloride, Sodium Acetate, Sodium Chloride, Glucose Monohydrate, Magnesium Chloride, Sodium Gluconate                                                                                                                                                        |                      0 |                     2 |
|         1802 | Potassium Chloride, Sodium Chloride, Calcium Chloride Hexahydrate                                                                                                                                                                                                     |                      0 |                     2 |
|         1803 | Potassium Chloride, Sodium Chloride, Calcium Chloride Hexahydrate, Glucose                                                                                                                                                                                            |                      0 |                     2 |
|         9974 | Potassium Chloride, Sodium Chloride, Citric Acid Anhydrous, Glucose Monohydrate, Sodium Citrate Dihydrate                                                                                                                                                             |                      0 |                     2 |
|         8883 | Potassium Chloride, Sodium Chloride, Glucose Monohydrate, Disodium Citrate Sesquihydrate                                                                                                                                                                              |                      0 |                     2 |
|         5303 | Potassium Chloride, Sodium Chloride, Glucose, Sodium Citrate Dihydrate                                                                                                                                                                                                |                      0 |                     2 |
|         5262 | Potassium Chloride, Sodium Chloride, Sodium Lactate 60%                                                                                                                                                                                                               |                      0 |                     2 |
|         2811 | Potassium Hydrogen Carbonate, Citric Acid, Sodium Citrate Anhydrous                                                                                                                                                                                                   |                      0 |                     2 |
|         5603 | Potassium Hydrogen Carbonate, Potassium Citrate                                                                                                                                                                                                                       |                      0 |                     2 |
|        10469 | Potassium Nitrate, Silver Nitrate                                                                                                                                                                                                                                     |                      0 |                     2 |
|         2915 | Povidone, Iodinated, 2-Propanol (Ph. Eur.)                                                                                                                                                                                                                            |                      0 |                     2 |
|         8862 | Povidone, Poly(Vinyl Alcohol)                                                                                                                                                                                                                                         |                      0 |                     2 |
|         9531 | Pravastatin Sodium, Fenofibrate                                                                                                                                                                                                                                       |                      0 |                     2 |
|         2518 | Praziquantel                                                                                                                                                                                                                                                          |                      0 |                     2 |
|         4421 | Prednisolone Bp                                                                                                                                                                                                                                                       |                      0 |                     2 |
|         9540 | Prednisolone Sodium Phosphate Ph. Eur.                                                                                                                                                                                                                                |                      0 |                     2 |
|         9536 | Prednisone Micronised                                                                                                                                                                                                                                                 |                      0 |                     2 |
|        11218 | Preparation Of Fresh Herb Of Symphytum X Uplandicum (40% Of Pressed Juice Of Fresh Herb Of Symphytum X Uplandicum, Der 3-8:1, And 60% Of An Extract Of The Press Residue From Fresh Herb Of Symphytum X Uplandicum, Der 3-10:1, Extraction Medium Ethanol 30% V       |                      0 |                     2 |
|        11812 | Prilocaine Hydrochloride, Epinephrine                                                                                                                                                                                                                                 |                      0 |                     2 |
|        10344 | Primula Veris Flower                                                                                                                                                                                                                                                  |                      0 |                     2 |
|         9360 | Primulae Radix, Extractum Spissum, Thymus Herb Liquid Extract                                                                                                                                                                                                         |                      0 |                     2 |
|        11953 | Procaine Hydrochloride, Benzocaine, Levomenthol                                                                                                                                                                                                                       |                      0 |                     2 |
|         8331 | Procarbazine Hydrochloride                                                                                                                                                                                                                                            |                      0 |                     2 |
|         9706 | Prochlorperazine Maleate Ph. Eur.                                                                                                                                                                                                                                     |                      0 |                     2 |
|         7190 | Procyclidine Hydrochloride Bp                                                                                                                                                                                                                                         |                      0 |                     2 |
|         2601 | Progesterone, Estradiol Hemihydrate                                                                                                                                                                                                                                   |                      0 |                     2 |
|          987 | Promelase                                                                                                                                                                                                                                                             |                      0 |                     2 |
|          339 | Promethazine Hydrochloride, Carbocisteine                                                                                                                                                                                                                             |                      0 |                     2 |
|         9741 | Propiomazine                                                                                                                                                                                                                                                          |                      0 |                     2 |
|         9744 | Propolis                                                                                                                                                                                                                                                              |                      0 |                     2 |
|         7839 | Propolis Extract                                                                                                                                                                                                                                                      |                      0 |                     2 |
|         1414 | Propolis Mother Tincture                                                                                                                                                                                                                                              |                      0 |                     2 |
|         9748 | Propranolol Hydrochloride Bp                                                                                                                                                                                                                                          |                      0 |                     2 |
|         7525 | Propyl Parahydroxybenzoate, Lidocaine Hydrochloride                                                                                                                                                                                                                   |                      0 |                     2 |
|         4805 | Prothipendyl Hydrochloride                                                                                                                                                                                                                                            |                      0 |                     2 |
|          829 | Prunus Dulcis (764)                                                                                                                                                                                                                                                   |                      0 |                     2 |
|          854 | Prunus Persica (613)                                                                                                                                                                                                                                                  |                      0 |                     2 |
|         7854 | Pseudoephedrine Hydrochloride, Ascorbic Acid, Paracetamol                                                                                                                                                                                                             |                      0 |                     2 |
|        10140 | Pseudoephedrine Hydrochloride, Ebastine                                                                                                                                                                                                                               |                      0 |                     2 |
|         8672 | Pseudoephedrine Hydrochloride, Ibuprofen Bp                                                                                                                                                                                                                           |                      0 |                     2 |
|          322 | Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride, Paracetamol                                                                                                                                                                                                |                      0 |                     2 |
|         2960 | Psychotria Ipecacuanha D4, Lobelia Inflata D4, Atropa Bella-Donna D4, Bryonia D4, Kalium Stibyltartaricum D4, Kreosotum D5, Lobaria Pulmonaria D4, Hyoscyamus Niger D4                                                                                                |                      0 |                     2 |
|         9656 | Pullularia Pullulans                                                                                                                                                                                                                                                  |                      0 |                     2 |
|         9203 | Pumpkin Seed Oil                                                                                                                                                                                                                                                      |                      0 |                     2 |
|         6284 | Pumpkin Seed, Crushed, Pumpkin Seed Oil                                                                                                                                                                                                                               |                      0 |                     2 |
|         9766 | Pumpkin Seed, Powdered, Dry Extract From Goldenrod (5-8:1), Extraction Solvent: Ethanol 60% V/V, Dry Extract From Aspen Leaves (5-8:1), Extraction Solvent: Ethanol 60% V/V, Dry Extract From Cucurbita Pepo Seeds Deffatted (Der 5-10:1), Extraction Solvents:       |                      0 |                     2 |
|        10260 | Pumpkin Seed, Powdered, Pumpkin Seed Oil, Dry Extract Of Saw Palmetto Fruit (8 -11:1), Extraction Solvent: Ethanol 60% (V/V)                                                                                                                                          |                      0 |                     2 |
|         8549 | Pure Nitroglycerin                                                                                                                                                                                                                                                    |                      0 |                     2 |
|         6451 | Pyrantel                                                                                                                                                                                                                                                              |                      0 |                     2 |
|         2361 | Pyridoxine                                                                                                                                                                                                                                                            |                      0 |                     2 |
|         4285 | Pyridoxine Hydrochloride, L-Cystine                                                                                                                                                                                                                                   |                      0 |                     2 |
|         2027 | Pyridoxine Hydrochloride, Magnesium Aspartate Tetrahydrate                                                                                                                                                                                                            |                      0 |                     2 |
|         8149 | Pyrvinium Embonate                                                                                                                                                                                                                                                    |                      0 |                     2 |
|        10389 | Quarz Dil. D29 Aquos., Secale Cornutum E Sklerotio Ferm 35b Dil. D5 (Hab, Vs. 35b)                                                                                                                                                                                    |                      0 |                     2 |
|         3197 | Quercus Robur/Petraea E Cortice Cum Calcio Carbonico = D6 Solution (Prepared From Quercus Robur/Petraea E Cortice, Decoctum Ø (Hab Vs.23a) By Four-Time Potentiation With Saturated Aqueous Solution Of Calcium Carbonica E Cinere Quercus And Subsequent Poten       |                      0 |                     2 |
|         8590 | Quinagolide                                                                                                                                                                                                                                                           |                      0 |                     2 |
|         3627 | Quinine Dihydrochloride                                                                                                                                                                                                                                               |                      0 |                     2 |
|         9895 | Quinine Sulphate Bp                                                                                                                                                                                                                                                   |                      0 |                     2 |
|         6790 | Ramipril, Acetylsalicylic Acid, Atorvastatin Calcium Trihydrate                                                                                                                                                                                                       |                      0 |                     2 |
|         9921 | Ramipril, Bisoprolol Fumarate Ph. Eur.                                                                                                                                                                                                                                |                      0 |                     2 |
|         5196 | Reboxetine Methanesulfonate                                                                                                                                                                                                                                           |                      0 |                     2 |
|         5292 | Refined And Quantified Dry Extract From Vaccinium Macrocarpon Fruit Juice (20-35:1), Corresponding To 36 Mg (34.2-37.8 Mg) Of Proanthocyanidins Expressed As Proanthocyanidins A2, Extraction Solvent: Ethanol 70% V/V                                                |                      0 |                     2 |
|         5184 | Refined And Standardized Dry Extract From Milk Thistle Fruit (30:1), Corresponding To 150 Mg Silymarin Calculated As Silibinin, Extraction Solvent: Acetone                                                                                                           |                      0 |                     2 |
|            9 | Reproterol Hydrochloride, Sodium Cromoglicate                                                                                                                                                                                                                         |                      0 |                     2 |
|         6052 | Resina Piceae C4, Robinia Pseudoacacia C4, Carbo Vegetabilis C4, Strychnos Nux-Vomica C4                                                                                                                                                                              |                      0 |                     2 |
|        10143 | Retinol Acetate                                                                                                                                                                                                                                                       |                      0 |                     2 |
|        10570 | Retinol Acetate, Dried Yeast From Saccharomyces Cerevisiae, L-Cystine, Precipitated Sulphur                                                                                                                                                                           |                      0 |                     2 |
|         3991 | Retinol Palmitate, Alphatocopherol Acetate                                                                                                                                                                                                                            |                      0 |                     2 |
|        11970 | Retinol Palmitate, Ergocalciferol                                                                                                                                                                                                                                     |                      0 |                     2 |
|         2898 | Retinol Palmitate, Ergocalciferol Ph. Eur., Nicotinamide Bp, Riboflavin Bp, Ascorbic Acid Bp, Thiamine Hydrochloride Bp, Pyridoxine Hydrochloride Bp                                                                                                                  |                      0 |                     2 |
|         3989 | Retinol Palmitate, Tocopheryl Acetate                                                                                                                                                                                                                                 |                      0 |                     2 |
|         5589 | Retinol, Alpha-Tocopherol                                                                                                                                                                                                                                             |                      0 |                     2 |
|         3404 | Rhamnus Purshiana Dc. Bark                                                                                                                                                                                                                                            |                      0 |                     2 |
|         4895 | Rhododendron D4, Rhus Toxicodendron D4, Calcium Phosphoricum D12, Causticum Hahnemanni D6, Berberis Vulgaris D4, Solanum Dulcamara D4, Strychnos Nux-Vomica D4                                                                                                        |                      0 |                     2 |
|        10704 | Rhus Toxicodendron Mother Tincture, Symphytum Ad Usum Externum, Ledum Palustre Mother Tincture                                                                                                                                                                        |                      0 |                     2 |
|        11694 | Riboflavin                                                                                                                                                                                                                                                            |                      0 |                     2 |
|        11690 | Riboflavin Sodium Phosphate, Thiamine Hydrochloride, Ascorbic Acid, Nicotinamide, Glucose Monohydrate, Pyridoxine Hydrochloride                                                                                                                                       |                      0 |                     2 |
|        10121 | Rifamycin                                                                                                                                                                                                                                                             |                      0 |                     2 |
|         5198 | Rilpivirine                                                                                                                                                                                                                                                           |                      0 |                     2 |
|         9614 | Robinia                                                                                                                                                                                                                                                               |                      0 |                     2 |
|        11209 | Rosemary Oil, Arnica Tincture Dev (1:10): Extraction Medium Ethanol 70% (V/V)                                                                                                                                                                                         |                      0 |                     2 |
|        10187 | Rosuvastatin, Omega-3-Acid Ethyl Esters 90                                                                                                                                                                                                                            |                      0 |                     2 |
|         8181 | Rrr-Alpha-Tocopherol From Vegetable Oil Distillate                                                                                                                                                                                                                    |                      0 |                     2 |
|         8132 | Rubella Virus Wistar Ra 27/3 Strain (Live, Attenuated) Produced In Wi-38 Human Diploid Lung Fibroblasts, Mumps Virus Jeryl Lynn (Level B) Strain (Live, Attenuated) Produced In Chick Embryo Cells, Measles Virus Edmonston-Enders Strain (Live, Attenuated) Pr       |                      0 |                     2 |
|         9694 | Rubella Virus Wistar Ra 27/3 Strain (Live, Attenuated), Measles Virus Schwarz Strain (Live, Attenuated), Mumps Virus Rit 4385 Strain, Derived From Jeryl Lynn Strain (Live, Attenuated)                                                                               |                      0 |                     2 |
|         3349 | Rubidium Chloride Rb-82, Strontium (82sr) Dichloride                                                                                                                                                                                                                  |                      0 |                     2 |
|         3417 | Rumex Acetosa, Plantago Lanceolata, Chenopodium Album, Artemisia                                                                                                                                                                                                      |                      0 |                     2 |
|         9778 | Sabal Fructus Oleoresinum Ethanolicum                                                                                                                                                                                                                                 |                      0 |                     2 |
|         1613 | Sage Leaf Fluid Extract (Der 1:4-5, Extraction Medium Ethanol 50% V/V)                                                                                                                                                                                                |                      0 |                     2 |
|        10286 | Sage Leaves Dry Extract (4-7:1), Extraction Solvent Water                                                                                                                                                                                                             |                      0 |                     2 |
|         3837 | Salbutamol Sulfate, Beclometasone Dipropionate Anhydrous                                                                                                                                                                                                              |                      0 |                     2 |
|         6076 | Salicylic Acid Ph. Eur.                                                                                                                                                                                                                                               |                      0 |                     2 |
|          641 | Salmeterol Xinafoate, Fluticasone                                                                                                                                                                                                                                     |                      0 |                     2 |
|        11329 | Salmonella Typhi, Strain Ty21a (Live, Attenuated)                                                                                                                                                                                                                     |                      0 |                     2 |
|         3131 | Salviae Herba                                                                                                                                                                                                                                                         |                      0 |                     2 |
|         3130 | Sambuci Flos                                                                                                                                                                                                                                                          |                      0 |                     2 |
|        10697 | Sars-Cov-2 Jn.1 Mrna                                                                                                                                                                                                                                                  |                      0 |                     2 |
|        10324 | Saxagliptin Hydrochloride                                                                                                                                                                                                                                             |                      0 |                     2 |
|        10383 | Scrophularia Nodosa D4                                                                                                                                                                                                                                                |                      0 |                     2 |
|        10381 | Scrophularia Nodosa Dil. D3, Acidum Lacticum D4, Naja Naja Dil. D8                                                                                                                                                                                                    |                      0 |                     2 |
|         7685 | Scrophularia Nodosa Ø, Hydrargyrum Biiodatum D12, Echinacea D3                                                                                                                                                                                                        |                      0 |                     2 |
|         4961 | Secale Cornutum D4, Cuprum Aceticum D6, Nicotiana Tabacum D4                                                                                                                                                                                                          |                      0 |                     2 |
|        10424 | Selegiline                                                                                                                                                                                                                                                            |                      0 |                     2 |
|         2733 | Selenium Sulfide                                                                                                                                                                                                                                                      |                      0 |                     2 |
